Rank,Highest,Highest Date,Highest ONI Mode,Lowest,Lowest Date,Lowest ONI Mode,Zone,ONI max,ONI min
1,0.496,2015-09-17 15:00,El Nino,-2.016,2011-03-11 15:00,La Nina,GMT,2.16,-0.93
2,0.477,1994-10-04 23:00,El Nino,-1.024,2010-02-28 03:00,El Nino,GMT,0.74,1.22
3,0.474,1995-11-24 14:00,La Nina,-0.952,2011-12-25 06:00,La Nina,GMT,-1.0,-1.04
4,0.461,2020-12-15 14:00,La Nina,-0.943,1998-06-24 18:00,Neutral,GMT,-1.19,-0.13
5,0.458,2017-08-21 00:00,Neutral,-0.933,1999-01-02 06:00,La Nina,GMT,-0.11,-1.55
6,0.453,2021-12-05 14:00,La Nina,-0.923,2001-06-24 21:00,Neutral,GMT,-0.98,-0.12
7,0.443,2019-12-26 13:00,Neutral,-0.921,2009-05-25 19:00,Neutral,GMT,0.55,0.01
8,0.436,2023-08-02 01:00,El Nino,-0.911,2009-06-23 18:00,Neutral,GMT,1.32,0.28
9,0.433,2020-07-21 01:00,Neutral,-0.91,2009-01-10 05:00,La Nina,GMT,-0.41,-0.85
10,0.432,2020-07-06 02:00,Neutral,-0.903,2010-01-01 07:00,El Nino,GMT,-0.41,1.5
