,Station_Name,UHSLC_ID,Trend ASL (mm/yr),Trend RSL (mm/yr),Δ Sea Level ASL (cm),Δ Sea Level RSL (cm),Latitude ASL,Latitude RSL,Longitude ASL,Longitude RSL,Time_Period,Data_Source ASL,Data_Source RSL
0,French Frigate,14,1.8713291926053284,,5.674700106036035,,23.875,23.867,-166.375,-166.29,1993-01-01 to 2022-12-31,CMEMS SSH L4 0.25 deg (SLA),UHSLC RQDS
1,Midway,50,4.2151428053359545,3.7806504,12.782182535770303,11.340399,28.125,28.217,-177.375,-177.367,1993-01-01 to 2022-12-31,CMEMS SSH L4 0.25 deg (SLA),UHSLC RQDS
2,Johnston,52,2.292585966962345,1.80246,6.952137486673493,5.4066396,16.875,16.75,-169.625,-169.517,1993-01-01 to 2022-12-31,CMEMS SSH L4 0.25 deg (SLA),UHSLC RQDS
3,"Honolulu, Hawaii",57,2.103058345181576,2.6965399,6.377405675901748,8.088512,21.375,21.307,-157.875,-157.867,1993-01-01 to 2022-12-31,CMEMS SSH L4 0.25 deg (SLA),UHSLC RQDS
4,Nawiliwili,58,2.2634096918720235,3.062466,6.863662079993027,9.18614,21.875,21.967,-159.375,-159.35,1993-01-01 to 2022-12-31,CMEMS SSH L4 0.25 deg (SLA),UHSLC RQDS
5,Kahului,59,2.1054161887909033,2.5279,6.3845557035039135,7.582662,20.875,20.9,-156.375,-156.467,1993-01-01 to 2022-12-31,CMEMS SSH L4 0.25 deg (SLA),UHSLC RQDS
6,"Hilo, Hawaii",60,1.9753867226099315,3.2984948,5.9902486898364415,9.89413,19.733,19.733,-155.067,-155.067,1993-01-01 to 2022-12-31,CMEMS SSH L4 0.25 deg (SLA),UHSLC RQDS
7,Mokuoloe,61,2.103058345181576,2.9337268,6.377405675901748,8.799976,21.375,21.433,-157.875,-157.8,1993-01-01 to 2022-12-31,CMEMS SSH L4 0.25 deg (SLA),UHSLC RQDS
8,"Barbers Point, HI",547,2.2289197212039724,,6.759073191527776,,21.375,21.322,-158.125,-158.12,1993-01-01 to 2022-12-31,CMEMS SSH L4 0.25 deg (SLA),UHSLC RQDS
9,"Kaumalapau, HI",548,2.1830534670169817,,6.619986365689279,,20.875,20.783,-156.875,-157.0,1993-01-01 to 2022-12-31,CMEMS SSH L4 0.25 deg (SLA),UHSLC RQDS
10,Kawaihae,552,2.7507074236442914,,8.34136493478006,,20.125,20.033,-155.875,-155.833,1993-01-01 to 2022-12-31,CMEMS SSH L4 0.25 deg (SLA),UHSLC RQDS
